Booktitle,Suggested Title,book_author,log_value,library,ISBN,Author,Type,Year Published,Weight,Page Count,Subjects,Places
Splat  The  Cat,Splat the Cat,Robscotton,1,Squirrel Hill,9780060831554,Rob Scotton,work,2008,,,"Fiction,Juvenile fiction,Cats,First day of school,Schools,Mice,Friendship,Pictorial works,Accessible book,Protected DAISY",
Supermans Superpowers,Diagnostic Ultrasound Imaging,I Can Read,1,Squirrel Hill,126801452,Thomas Szabo,work,2004,,,,
Flat Stanley And The Firehouse,,I Can Read,1,Squirrel Hill,No ISBN Found,,,,,,,
Flat Stanley And The Firehouse,,Jeff Brown,1,Main (Oakland),No ISBN Found,,,,,,,
Flat Stanley And The Firehouse,,Jeff Brown,1,Main (Oakland),No ISBN Found,,,,,,,
The Underwater Planet,Photographic library,Geronimo Stilton,1,Squirrel Hill,No ISBN Found,Planet Earth Pictures.,work,1990,,,,
The Underwater Planet,Photographic library,Geronimo Stilton,1,Squirrel Hill,No ISBN Found,Planet Earth Pictures.,work,1990,,,,
Eerie Elementarythe School Is Alive,,Jack Chabert,1,West End,No ISBN Found,,,,,,,
Eerie Elementarythe Locker Ate Lucy,,Jack Chabert,1,West End,No ISBN Found,,,,,,,
Eerie Elementary Recess Is A Jungle,,Jack Chabert,1,West End,No ISBN Found,,,,,,,
The Haunted Library,Haunted,Dori Hillestad Butler,1,West End,307358380,Kelley Armstrong,work,2005,,,,
The Haunted Library The Ghost In The Attic,The haunted attic,Dori Hillestad Butler,1,West End,No ISBN Found,Margaret Sutton,work,1932,,,,
Yummy Yucky,Yummy Yucky,Leslie Patricelli,1,Lawrenceville,9780763619503,Leslie Patricelli,work,2003,8 ounces,24,,
Yummy Yucky,Yummy Yucky,Leslie Patricelli,1,Lawrenceville,9780763619503,Leslie Patricelli,work,2003,8 ounces,24,,
Yummy Yucky,Yummy Yucky,Leslie Patricelli,1,Main (Oakland),9780763619503,Leslie Patricelli,work,2003,8 ounces,24,,
Yummy Yucky,Yummy Yucky,Leslie Patricelli,1,Homewood,9780763619503,Leslie Patricelli,work,2003,8 ounces,24,,
Hi Fly Guy,"Hi, Fly Guy!",Tedd Arnold,1,Lawrenceville,439639034,Tedd Arnold,work,2005,,,,
Hi Fly Guy,"Hi, Fly Guy!",Tedd Arnold,1,Squirrel Hill,439639034,Tedd Arnold,work,2005,,,,
Hi Fly Guy,"Hi, Fly Guy!",Tedd Arnold,1,Squirrel Hill,439639034,Tedd Arnold,work,2005,,,,
Hi Fly Guy,"Hi, Fly Guy!",Tedd Arnold,1,Squirrel Hill,439639034,Tedd Arnold,work,2005,,,,
Hi Fly Guy,"Hi, Fly Guy!",Tedd Arnold,1,Brookline,439639034,Tedd Arnold,work,2005,,,,
Hi Fly Guy,"Hi, Fly Guy!",Tedd Arnold,1,Carrick,439639034,Tedd Arnold,work,2005,,,,
Hi Fly Guy,"Hi, Fly Guy!",Tedd Arnold,1,East Liberty,439639034,Tedd Arnold,work,2005,,,,
Hi Fly Guy,"Hi, Fly Guy!",Tedd Arnold,1,East Liberty,439639034,Tedd Arnold,work,2005,,,,
Hi Fly Guy,"Hi, Fly Guy!",Tedd Arnold,1,Squirrel Hill,439639034,Tedd Arnold,work,2005,,,,
Hi Fly Guy,"Hi, Fly Guy!",Tedd Arnold,1,Squirrel Hill,439639034,Tedd Arnold,work,2005,,,,
Hi Fly Guy,"Hi, Fly Guy!",Tedd Arnold,1,South Side,439639034,Tedd Arnold,work,2005,,,,
Hi Fly Guy,"Hi, Fly Guy!",Tedd Arnold,1,Hill District,439639034,Tedd Arnold,work,2005,,,,
Hi Fly Guy,"Hi, Fly Guy!",Tedd Arnold,1,Hill District,439639034,Tedd Arnold,work,2005,,,,
Lego Superheroes Batman Visual Dictionary,,Daniel Lipkowitz,1,Squirrel Hill,No ISBN Found,,,,,,,
Lego Superheroes Batman Visual Dictionary,,Daniel Lipkowitz,1,West End,No ISBN Found,,,,,,,
Lets Dance Little Pookie,"Let's Dance, Little Pookie",Sandra Boynton,1,Squirrel Hill,9780375845192,Sandra Boynton,work,2008,,18,"Juvenile fiction,Dance,Swine",
Lets Dance Little Pookie,"Let's Dance, Little Pookie",Sandra Boynton,1,Squirrel Hill,9780375845192,Sandra Boynton,work,2008,,18,"Juvenile fiction,Dance,Swine",
Lets Dance Little Pookie,"Let's Dance, Little Pookie",Sandra Boynton,2,Allegheny,9780375845192,Sandra Boynton,work,2008,,18,"Juvenile fiction,Dance,Swine",
The Cat In The Hat,The cat in the hat,Dr. Seuss,1,Squirrel Hill,1571352252,Dr. Seuss,work,1957,12 ounces,,"Bilingual,Cats,Children's literature, Spanish,Children's stories, American,Fantasy,Fiction,Folklore,French language materials,Juvenile fiction,Latin language,Latin language materials,Nonsense verses,Poetry,Readers,Spanish language,Spanish literature,Stories in rhyme,Accessible book,Protected DAISY",
The Cat In The Hat,The cat in the hat,Dr. Seuss,1,Homewood,1571352252,Dr. Seuss,work,1957,12 ounces,,"Bilingual,Cats,Children's literature, Spanish,Children's stories, American,Fantasy,Fiction,Folklore,French language materials,Juvenile fiction,Latin language,Latin language materials,Nonsense verses,Poetry,Readers,Spanish language,Spanish literature,Stories in rhyme,Accessible book,Protected DAISY",
The Cat In The Hat,The cat in the hat,Dr. Seuss,1,Hill District,1571352252,Dr. Seuss,work,1957,12 ounces,,"Bilingual,Cats,Children's literature, Spanish,Children's stories, American,Fantasy,Fiction,Folklore,French language materials,Juvenile fiction,Latin language,Latin language materials,Nonsense verses,Poetry,Readers,Spanish language,Spanish literature,Stories in rhyme,Accessible book,Protected DAISY",
The Cat In The Hat,The cat in the hat,Dr. Seuss,1,Hill District,1571352252,Dr. Seuss,work,1957,12 ounces,,"Bilingual,Cats,Children's literature, Spanish,Children's stories, American,Fantasy,Fiction,Folklore,French language materials,Juvenile fiction,Latin language,Latin language materials,Nonsense verses,Poetry,Readers,Spanish language,Spanish literature,Stories in rhyme,Accessible book,Protected DAISY",
The Cat In The Hat,The cat in the hat,Dr. Seuss,1,,1571352252,Dr. Seuss,work,1957,12 ounces,,"Bilingual,Cats,Children's literature, Spanish,Children's stories, American,Fantasy,Fiction,Folklore,French language materials,Juvenile fiction,Latin language,Latin language materials,Nonsense verses,Poetry,Readers,Spanish language,Spanish literature,Stories in rhyme,Accessible book,Protected DAISY",
The Cat In The Hat,The cat in the hat,Dr. Seuss,1,Brookline,1571352252,Dr. Seuss,work,1957,12 ounces,,"Bilingual,Cats,Children's literature, Spanish,Children's stories, American,Fantasy,Fiction,Folklore,French language materials,Juvenile fiction,Latin language,Latin language materials,Nonsense verses,Poetry,Readers,Spanish language,Spanish literature,Stories in rhyme,Accessible book,Protected DAISY",
The Cat In The Hat,The cat in the hat,Dr. Seuss,1,Carrick,1571352252,Dr. Seuss,work,1957,12 ounces,,"Bilingual,Cats,Children's literature, Spanish,Children's stories, American,Fantasy,Fiction,Folklore,French language materials,Juvenile fiction,Latin language,Latin language materials,Nonsense verses,Poetry,Readers,Spanish language,Spanish literature,Stories in rhyme,Accessible book,Protected DAISY",
The Cat In The Hat,The cat in the hat,Dr. Seuss,1,Squirrel Hill,1571352252,Dr. Seuss,work,1957,12 ounces,,"Bilingual,Cats,Children's literature, Spanish,Children's stories, American,Fantasy,Fiction,Folklore,French language materials,Juvenile fiction,Latin language,Latin language materials,Nonsense verses,Poetry,Readers,Spanish language,Spanish literature,Stories in rhyme,Accessible book,Protected DAISY",
The Cat In The Hat,The cat in the hat,Dr. Seuss,1,Squirrel Hill,1571352252,Dr. Seuss,work,1957,12 ounces,,"Bilingual,Cats,Children's literature, Spanish,Children's stories, American,Fantasy,Fiction,Folklore,French language materials,Juvenile fiction,Latin language,Latin language materials,Nonsense verses,Poetry,Readers,Spanish language,Spanish literature,Stories in rhyme,Accessible book,Protected DAISY",
The Cat In The Hat,The cat in the hat,Dr. Seuss,1,Main (Oakland),1571352252,Dr. Seuss,work,1957,12 ounces,,"Bilingual,Cats,Children's literature, Spanish,Children's stories, American,Fantasy,Fiction,Folklore,French language materials,Juvenile fiction,Latin language,Latin language materials,Nonsense verses,Poetry,Readers,Spanish language,Spanish literature,Stories in rhyme,Accessible book,Protected DAISY",
The Cat In The Hat,The cat in the hat,Dr. Seuss,1,Squirrel Hill,1571352252,Dr. Seuss,work,1957,12 ounces,,"Bilingual,Cats,Children's literature, Spanish,Children's stories, American,Fantasy,Fiction,Folklore,French language materials,Juvenile fiction,Latin language,Latin language materials,Nonsense verses,Poetry,Readers,Spanish language,Spanish literature,Stories in rhyme,Accessible book,Protected DAISY",
The Cat In The Hat,The cat in the hat,Dr. Seuss,1,Squirrel Hill,1571352252,Dr. Seuss,work,1957,12 ounces,,"Bilingual,Cats,Children's literature, Spanish,Children's stories, American,Fantasy,Fiction,Folklore,French language materials,Juvenile fiction,Latin language,Latin language materials,Nonsense verses,Poetry,Readers,Spanish language,Spanish literature,Stories in rhyme,Accessible book,Protected DAISY",
The Cat In The Hat,The cat in the hat,Dr. Seuss,1,Hill District,1571352252,Dr. Seuss,work,1957,12 ounces,,"Bilingual,Cats,Children's literature, Spanish,Children's stories, American,Fantasy,Fiction,Folklore,French language materials,Juvenile fiction,Latin language,Latin language materials,Nonsense verses,Poetry,Readers,Spanish language,Spanish literature,Stories in rhyme,Accessible book,Protected DAISY",
The Cat In The Hat,The cat in the hat,by dr.seuss,1,Hazelwood,1571352252,Dr. Seuss,work,1957,12 ounces,,"Bilingual,Cats,Children's literature, Spanish,Children's stories, American,Fantasy,Fiction,Folklore,French language materials,Juvenile fiction,Latin language,Latin language materials,Nonsense verses,Poetry,Readers,Spanish language,Spanish literature,Stories in rhyme,Accessible book,Protected DAISY",
The Cat In The Hat,The cat in the hat,Dr. Seuss,1,Allegheny,1571352252,Dr. Seuss,work,1957,12 ounces,,"Bilingual,Cats,Children's literature, Spanish,Children's stories, American,Fantasy,Fiction,Folklore,French language materials,Juvenile fiction,Latin language,Latin language materials,Nonsense verses,Poetry,Readers,Spanish language,Spanish literature,Stories in rhyme,Accessible book,Protected DAISY",
The Cat In The Hat,The cat in the hat,Dr. Seuss,3,Squirrel Hill,1571352252,Dr. Seuss,work,1957,12 ounces,,"Bilingual,Cats,Children's literature, Spanish,Children's stories, American,Fantasy,Fiction,Folklore,French language materials,Juvenile fiction,Latin language,Latin language materials,Nonsense verses,Poetry,Readers,Spanish language,Spanish literature,Stories in rhyme,Accessible book,Protected DAISY",
The Cat In The Hat,The cat in the hat,Dr. Seuss,3,Squirrel Hill,1571352252,Dr. Seuss,work,1957,12 ounces,,"Bilingual,Cats,Children's literature, Spanish,Children's stories, American,Fantasy,Fiction,Folklore,French language materials,Juvenile fiction,Latin language,Latin language materials,Nonsense verses,Poetry,Readers,Spanish language,Spanish literature,Stories in rhyme,Accessible book,Protected DAISY",
The Cat In The Hat,The cat in the hat,Dr. Seuss,3,Squirrel Hill,1571352252,Dr. Seuss,work,1957,12 ounces,,"Bilingual,Cats,Children's literature, Spanish,Children's stories, American,Fantasy,Fiction,Folklore,French language materials,Juvenile fiction,Latin language,Latin language materials,Nonsense verses,Poetry,Readers,Spanish language,Spanish literature,Stories in rhyme,Accessible book,Protected DAISY",
The Cat In The Hat,The cat in the hat,Dr. Seuss,3,Squirrel Hill,1571352252,Dr. Seuss,work,1957,12 ounces,,"Bilingual,Cats,Children's literature, Spanish,Children's stories, American,Fantasy,Fiction,Folklore,French language materials,Juvenile fiction,Latin language,Latin language materials,Nonsense verses,Poetry,Readers,Spanish language,Spanish literature,Stories in rhyme,Accessible book,Protected DAISY",
The Cat In The Hat,The cat in the hat,Dr. Seuss,3,Squirrel Hill,1571352252,Dr. Seuss,work,1957,12 ounces,,"Bilingual,Cats,Children's literature, Spanish,Children's stories, American,Fantasy,Fiction,Folklore,French language materials,Juvenile fiction,Latin language,Latin language materials,Nonsense verses,Poetry,Readers,Spanish language,Spanish literature,Stories in rhyme,Accessible book,Protected DAISY",
The Cat In The Hat,The cat in the hat,Dr. Seuss,3,Squirrel Hill,1571352252,Dr. Seuss,work,1957,12 ounces,,"Bilingual,Cats,Children's literature, Spanish,Children's stories, American,Fantasy,Fiction,Folklore,French language materials,Juvenile fiction,Latin language,Latin language materials,Nonsense verses,Poetry,Readers,Spanish language,Spanish literature,Stories in rhyme,Accessible book,Protected DAISY",
The Cat In The Hat,The cat in the hat,Dr. Seuss,3,Squirrel Hill,1571352252,Dr. Seuss,work,1957,12 ounces,,"Bilingual,Cats,Children's literature, Spanish,Children's stories, American,Fantasy,Fiction,Folklore,French language materials,Juvenile fiction,Latin language,Latin language materials,Nonsense verses,Poetry,Readers,Spanish language,Spanish literature,Stories in rhyme,Accessible book,Protected DAISY",
The Cat In The Hat,The cat in the hat,Dr. Seuss,3,Squirrel Hill,1571352252,Dr. Seuss,work,1957,12 ounces,,"Bilingual,Cats,Children's literature, Spanish,Children's stories, American,Fantasy,Fiction,Folklore,French language materials,Juvenile fiction,Latin language,Latin language materials,Nonsense verses,Poetry,Readers,Spanish language,Spanish literature,Stories in rhyme,Accessible book,Protected DAISY",
The Cat In The Hat,The cat in the hat,Dr. Seuss,1,Allegheny,1571352252,Dr. Seuss,work,1957,12 ounces,,"Bilingual,Cats,Children's literature, Spanish,Children's stories, American,Fantasy,Fiction,Folklore,French language materials,Juvenile fiction,Latin language,Latin language materials,Nonsense verses,Poetry,Readers,Spanish language,Spanish literature,Stories in rhyme,Accessible book,Protected DAISY",
The Cat In The Hat,The cat in the hat,Dr. Seuss,1,Main (Oakland),1571352252,Dr. Seuss,work,1957,12 ounces,,"Bilingual,Cats,Children's literature, Spanish,Children's stories, American,Fantasy,Fiction,Folklore,French language materials,Juvenile fiction,Latin language,Latin language materials,Nonsense verses,Poetry,Readers,Spanish language,Spanish literature,Stories in rhyme,Accessible book,Protected DAISY",
The Cat In The Hat,The cat in the hat,Dr. Seuss,1,Sheraden,1571352252,Dr. Seuss,work,1957,12 ounces,,"Bilingual,Cats,Children's literature, Spanish,Children's stories, American,Fantasy,Fiction,Folklore,French language materials,Juvenile fiction,Latin language,Latin language materials,Nonsense verses,Poetry,Readers,Spanish language,Spanish literature,Stories in rhyme,Accessible book,Protected DAISY",
The Cat In The Hat,The cat in the hat,Dr. Seuss,1,Squirrel Hill,1571352252,Dr. Seuss,work,1957,12 ounces,,"Bilingual,Cats,Children's literature, Spanish,Children's stories, American,Fantasy,Fiction,Folklore,French language materials,Juvenile fiction,Latin language,Latin language materials,Nonsense verses,Poetry,Readers,Spanish language,Spanish literature,Stories in rhyme,Accessible book,Protected DAISY",
The Cat In The Hat,The cat in the hat,Dr. Seuss,1,East Liberty,1571352252,Dr. Seuss,work,1957,12 ounces,,"Bilingual,Cats,Children's literature, Spanish,Children's stories, American,Fantasy,Fiction,Folklore,French language materials,Juvenile fiction,Latin language,Latin language materials,Nonsense verses,Poetry,Readers,Spanish language,Spanish literature,Stories in rhyme,Accessible book,Protected DAISY",
The Cat In The Hat,The cat in the hat,Dr. Seuss,1,East Liberty,1571352252,Dr. Seuss,work,1957,12 ounces,,"Bilingual,Cats,Children's literature, Spanish,Children's stories, American,Fantasy,Fiction,Folklore,French language materials,Juvenile fiction,Latin language,Latin language materials,Nonsense verses,Poetry,Readers,Spanish language,Spanish literature,Stories in rhyme,Accessible book,Protected DAISY",
The Cat In The Hat,The cat in the hat,Dr. Seuss,5,Hazelwood,1571352252,Dr. Seuss,work,1957,12 ounces,,"Bilingual,Cats,Children's literature, Spanish,Children's stories, American,Fantasy,Fiction,Folklore,French language materials,Juvenile fiction,Latin language,Latin language materials,Nonsense verses,Poetry,Readers,Spanish language,Spanish literature,Stories in rhyme,Accessible book,Protected DAISY",
The Cat In The Hat,The cat in the hat,Dr. Seuss,5,Hazelwood,1571352252,Dr. Seuss,work,1957,12 ounces,,"Bilingual,Cats,Children's literature, Spanish,Children's stories, American,Fantasy,Fiction,Folklore,French language materials,Juvenile fiction,Latin language,Latin language materials,Nonsense verses,Poetry,Readers,Spanish language,Spanish literature,Stories in rhyme,Accessible book,Protected DAISY",
The Cat In The Hat,The cat in the hat,Dr. Seuss,1,Brookline,1571352252,Dr. Seuss,work,1957,12 ounces,,"Bilingual,Cats,Children's literature, Spanish,Children's stories, American,Fantasy,Fiction,Folklore,French language materials,Juvenile fiction,Latin language,Latin language materials,Nonsense verses,Poetry,Readers,Spanish language,Spanish literature,Stories in rhyme,Accessible book,Protected DAISY",
The Cat In The Hat,The cat in the hat,Dr. Seuss,1,Hill District,1571352252,Dr. Seuss,work,1957,12 ounces,,"Bilingual,Cats,Children's literature, Spanish,Children's stories, American,Fantasy,Fiction,Folklore,French language materials,Juvenile fiction,Latin language,Latin language materials,Nonsense verses,Poetry,Readers,Spanish language,Spanish literature,Stories in rhyme,Accessible book,Protected DAISY",
The Cat In The Hat,The cat in the hat,Dr. Seuss,1,East Liberty,1571352252,Dr. Seuss,work,1957,12 ounces,,"Bilingual,Cats,Children's literature, Spanish,Children's stories, American,Fantasy,Fiction,Folklore,French language materials,Juvenile fiction,Latin language,Latin language materials,Nonsense verses,Poetry,Readers,Spanish language,Spanish literature,Stories in rhyme,Accessible book,Protected DAISY",
The Cat In The Hat,The cat in the hat,Dr. Seuss,1,Allegheny,1571352252,Dr. Seuss,work,1957,12 ounces,,"Bilingual,Cats,Children's literature, Spanish,Children's stories, American,Fantasy,Fiction,Folklore,French language materials,Juvenile fiction,Latin language,Latin language materials,Nonsense verses,Poetry,Readers,Spanish language,Spanish literature,Stories in rhyme,Accessible book,Protected DAISY",
The Cat In The Hat,The cat in the hat,,1,Knoxville,1571352252,Dr. Seuss,work,1957,12 ounces,,"Bilingual,Cats,Children's literature, Spanish,Children's stories, American,Fantasy,Fiction,Folklore,French language materials,Juvenile fiction,Latin language,Latin language materials,Nonsense verses,Poetry,Readers,Spanish language,Spanish literature,Stories in rhyme,Accessible book,Protected DAISY",
